ООО "Стройсантехмонтаж",|658131 г.Алейск, ул.Сердюка, 154|,8 3852 363630,Алтайский край,Обычная организация,2201004591,1022200510045,35023325,https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=C6F21813BACF324ABE5441DA33285EAC
ООО «НПФ «Союз»,|420097, Республика Татарстан, г. Казань, ул. Хороводная, д.39/63|,(н/д),Республика Татарстан,Обычная организация,1655025047,1021602842139,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=B37F929400661BDBD5044F5661A8E8C3
ООО «АДС»,|Ярославская обл, Ярославль г, Полушкина Роща ул, 16, строение 67а, офис 18|,8-920-900-36-66,Ярославская область,Отсутствующий должник,6311038657,1026300525173,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=CE635B540E0893BBF0B43D8D2BCE04C2
ЗАО Глоботэк,|Самарская область, Сызранский район, с. Губино, Красная горка, 7|,(н/д),Самарская область,Обычная организация,6325037621,1056325049000,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=6AEA5C05EBE03A596274EE7D02583DC8
ООО "Виктори",|344029, г. Ростов-на-Дону, ул. 29-я линия, 108 а, оф. 13|,(н/д),Ростовская область,Обычная организация,6168006194,1056168058231,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=ED3647B214CB58B8EAA44B6663AB2B74
ООО «СМОЛКА» ,|214016, г Смоленск, ул Соболева д 23|,8 910 782 3607,Смоленская область,Обычная организация,6730044957,1036758300897,12383868,https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=B73721D90504DC9981646080AF6338B0
ООО "Промлес",|658083, Алтайский край, г. Новоалтайск, ул. П. Корчагина, 66а |,(н/д),Алтайский край,Обычная организация,2208011982,1042201773250,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=FFB6A6F85F5C5A2864141FE45B5F6D97
ООО «Союз»,|427981, Удмуртская Республика, Сарапульский район, с.Шевырялово, ул.Памяти Земляков, 12|,(3412)61-31-04,Удмуртская Республика,Обычная организация,1838009959,1111838002154,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=729ED5A4840B6E2B7564FABF10D40358
ООО «ЛИК»,|427981, Удмуртская Республика, Сарапульский район, с.Шевырялово, ул.Памяти Земляков, 12|,(3412) 61-31-04,Удмуртская Республика,Обычная организация,1838003403,1081838000530,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=5CAA8EFE2328917B6944328230E1F6F7
ООО "ТИБ",|РСО-Алания Ардонский район, г. Ардон, ул. Красногорская, 5,|,(н/д),Республика Северная Осетия - Алания,Ликвидируемый должник,1506006256,1030500580341,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=90BD0AC54AEBEBB96AE4077AD166A349
ООО "Дионис",|193230,Санкт-Петербург,наб.Октябрьская,д.50,лит.А,пом.42 Н|,(н/д),г. Санкт-Петербург,Ликвидируемый должник,4703074317,1044700563698,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=0301FFD4BBE8ECDA05B44A85FEEB8B7C
"Волшебный городок",|664007, Иркутская область, г. Иркутск, ул. Декабрьских Событий, 55, оф. 12|,(н/д),Иркутская область,Ликвидируемый должник,5040054499,1035007902786,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=5B65A98749395169C8E4616813A0BEA5
ООО «САД»,|446001, Самарская обл., г. Сызрань, ул. Сланцевая, 2-я, 35/2|,884622795278,Самарская область,Ликвидируемый должник,6325027398,1026303055965,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=2133D8033D1F7639FED443E183DF196C
ООО «Софрино-Недвижимость»,|119991, г. Москва, Спасоналивковский 2-й пер, д. 7|,(н/д),г. Москва,Обычная организация,7722506783,1047796086084,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=FCFB6065CE20C0B9C854F6FB241EFC70
ООО "МФК",|603000 город Нижний Новгород, улица Новая, дом 28, помещение 14|,(н/д),Нижегородская область,Обычная организация,5250054463,1115250003747,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=E56049EED7AD8D4A8FA41C7B363E4FAE
ООО «Союз ЖК»,|404102, г.Волжский, ул.Машиностроителей, д.29|,(н/д),Волгоградская область,Обычная организация,3435078463,1063435051570,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=6084E41815E0AC2875B4B963B82320B1
ООО ТД "СДК",|630091, г. Новосибирск, ул. Мичурина,  д.  12а,  оф.  302-2|,(н/д),Новосибирская область,Обычная организация,5404001697,1145476162380,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=19CEEEDBF9A29BB97624A246AB000EA8
ООО «КС»,|630088, г. Новосибирск, ул. Сибиряков-Гвардейцев,  д. 49Б,  офис 203|,(н/д),Новосибирская область,Обычная организация,5404492501,1135476137224,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=C5E097B172F14728C1F4CD11675F4E27
ООО «ОС»,|633563, Новосибирская область, Маслянинский район, р.п. Маслялино, ул. Кирпичная, д. 54А, 1 этаж, офис 7|,(н/д),Новосибирская область,Обычная организация,5408290947,1115476135521,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=97558FFBDC3B763BFEC44D3C3577DCE1
ООО МСУ - 111,|ЧЕЛЯБИНСКАЯ, ОЗЕРСК, МОНТАЖНИКОВ, ДОМ 20, ОФИС 302|,(н/д),Челябинская область,Обычная организация,7423010193,1027401356950,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=0C4C983D5DC243B98EF4031DE5B615C8
ООО АБ "КЛАССИКА",|428032, ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА -, ГОРОД ЧЕБОКСАРЫ, УЛИЦА ЯРМАРОЧНАЯ, 6, 3|,(н/д),Чувашская Республика - Чувашия,Ликвидируемый должник,2129046647,1022101276340,24350822,https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=13C97D86290B9D2B7524BE6A214F1520
ИП Новикевич Д.А.,|182902, Россия, Псковская обл., Локнянский район, д. Крестилово|,8(911) 882-10-11,Псковская область,Сельскохозяйственная организация,6008006556,3116025104000,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=14454060508C0FBAA0C405CC8D6ABCEE
ОАО - завод "Ставбытхим",|Ставропольский край, Ставрополь г, Коломийцева ул, 8|,(н/д),Ставропольский край,Обычная организация,2633001566,1022601931923,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=2362D54A599386CAED24EC77D20FF713
ООО ИСК "АСТРОЙ",|АСТРАХАНСКАЯ, АСТРАХАНЬ, РОЖДЕСТВЕНСКОГО, 6, Г|,89371270375,Астраханская область,Обычная организация,3016026592,1023000835571,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=26ADFDBDC6F95E2A06E437CBF17E975C
